   table_schema   |             table_name             |        column_name         | foreign_table_schema |    foreign_table_name    |  foreign_column_name  
 partnerships     | performance_metrics                | agreement_id               | partnerships         | agreements               | id
 payments         | invoices                           | transaction_id             | payments             | transactions             | id
 payments         | invoices                           | user_id                    | core                 | users                    | id
 payments         | invoices                           | subscription_id            | payments             | subscriptions            | id
 payments         | invoices                           | payment_method_id          | payments             | payment_methods          | id
 payments         | payment_methods                    | user_id                    | core                 | users                    | id
 payments         | price_history                      | ticket_id                  | tickets              | tickets                  | id
 payments         | price_history                      | event_id                   | events               | events                   | id
 payments         | price_history                      | listing_id                 | marketplace          | listings                 | id
 payments         | refunds                            | approved_by                | core                 | users                    | id
 payments         | refunds                            | transaction_id             | payments             | transactions             | id
 payments         | refunds                            | user_id                    | core                 | users                    | id
 payments         | settlements                        | bank_account_id            | payments             | payment_methods          | id
 payments         | subscriptions                      | payment_method_id          | payments             | payment_methods          | id
 payments         | subscriptions                      | user_id                    | core                 | users                    | id
 payments         | transactions                       | user_id                    | core                 | users                    | id
 payments         | transactions                       | payment_method_id          | payments             | payment_methods          | id
 public           | event_tiers                        | event_id                   | public               | events                   | id
 public           | events                             | tenant_id                  | public               | tenants                  | id
 public           | mint_jobs                          | order_id                   | public               | orders                   | id
 public           | notifications                      | tenant_id                  | public               | tenants                  | id
 public           | order_items                        | order_id                   | public               | orders                   | id
 public           | order_items                        | tier_id                    | public               | event_tiers              | id
 public           | orders                             | tenant_id                  | public               | tenants                  | id
 public           | outbox                             | tenant_id                  | public               | tenants                  | id
 public           | payment_intents                    | tenant_id                  | public               | tenants                  | id
 public           | refunds                            | tenant_id                  | public               | tenants                  | id
 public           | reservations                       | ticket_type_id             | public               | ticket_types             | id
 public           | reservations                       | event_id                   | public               | events                   | id
 public           | scans                              | ticket_id                  | public               | tickets                  | id
 public           | scans                              | device_id                  | public               | devices                  | id
 public           | search_index_events                | event_id                   | public               | events                   | id
 public           | ticket_types                       | event_id                   | events               | events                   | id
 public           | ticket_types                       | event_id                   | public               | events                   | id
 public           | ticket_types                       | tenant_id                  | public               | tenants                  | id
 public           | tickets                            | tenant_id                  | public               | tenants                  | id
 public           | transactions                       | tenant_id                  | public               | tenants                  | id
 public           | transactions                       | order_id                   | public               | orders                   | id
 public           | venue_settings                     | venue_id                   | venues               | venues                   | id
 public           | venue_settings                     | venue_id                   | venues               | venues                   | id
 public           | venues                             | tenant_id                  | public               | tenants                  | id
 public           | webhook_inbox                      | tenant_id                  | public               | tenants                  | id
 tickets          | ticket_batch_operations            | event_id                   | events               | events                   | id
 tickets          | ticket_batch_operations            | initiated_by               | core                 | users                    | id
 tickets          | ticket_batch_operations            | target_user_id             | core                 | users                    | id
 tickets          | ticket_batch_operations            | ticket_type_id             | tickets              | ticket_types             | id
 tickets          | ticket_metadata                    | ticket_id                  | tickets              | tickets                  | id
 tickets          | ticket_ownership_history           | owner_user_id              | core                 | users                    | id
 tickets          | ticket_ownership_history           | ticket_id                  | tickets              | tickets                  | id
 tickets          | ticket_redemptions                 | redeemed_by_user_id        | core                 | users                    | id
 tickets          | ticket_redemptions                 | event_schedule_id          | events               | event_schedules          | id
 tickets          | ticket_redemptions                 | redeemed_by_staff_id       | core                 | users                    | id
 tickets          | ticket_redemptions                 | ticket_id                  | tickets              | tickets                  | id
 tickets          | ticket_refunds                     | requested_by_user_id       | core                 | users                    | id
 tickets          | ticket_refunds                     | transaction_id             | tickets              | ticket_transactions      | id
 tickets          | ticket_refunds                     | ticket_id                  | tickets              | tickets                  | id
 tickets          | ticket_refunds                     | approved_by_user_id        | core                 | users                    | id
 tickets          | ticket_resale_listings             | created_by                 | core                 | users                    | id
 tickets          | ticket_resale_listings             | ticket_id                  | tickets              | tickets                  | id
 tickets          | ticket_resale_listings             | seller_user_id             | core                 | users                    | id
 tickets          | ticket_transactions                | from_user_id               | core                 | users                    | id
 tickets          | ticket_transactions                | ticket_id                  | tickets              | tickets                  | id
 tickets          | ticket_transactions                | to_user_id                 | core                 | users                    | id
 tickets          | ticket_transfers                   | from_user_id               | core                 | users                    | id
 tickets          | ticket_transfers                   | to_user_id                 | core                 | users                    | id
 tickets          | ticket_transfers                   | ticket_id                  | tickets              | tickets                  | id
 tickets          | ticket_transfers                   | transaction_id             | tickets              | ticket_transactions      | id
 tickets          | ticket_type_analytics              | ticket_type_id             | tickets              | ticket_types             | id
 tickets          | ticket_type_availability_schedules | ticket_type_id             | tickets              | ticket_types             | id
 tickets          | ticket_type_availability_schedules | created_by                 | core                 | users                    | id
 tickets          | ticket_type_benefits               | ticket_type_id             | tickets              | ticket_types             | id
 tickets          | ticket_type_refund_policies        | created_by                 | core                 | users                    | id
 tickets          | ticket_type_refund_policies        | ticket_type_id             | tickets              | ticket_types             | id
 tickets          | ticket_type_restrictions           | ticket_type_id             | tickets              | ticket_types             | id
 tickets          | ticket_type_restrictions           | created_by                 | core                 | users                    | id
 tickets          | ticket_type_transfer_policies      | ticket_type_id             | tickets              | ticket_types             | id
 tickets          | ticket_type_transfer_policies      | created_by                 | core                 | users                    | id
 tickets          | ticket_types                       | capacity_id                | events               | event_capacity           | id
 tickets          | ticket_types                       | event_id                   | public               | events                   | id
 tickets          | ticket_types                       | pricing_id                 | events               | event_pricing            | id
 tickets          | ticket_types                       | event_id                   | events               | events                   | id
 tickets          | ticket_validations                 | validated_by_user_id       | core                 | users                    | id
 tickets          | ticket_validations                 | ticket_id                  | tickets              | tickets                  | id
 tickets          | tickets                            | owner_id                   | core                 | users                    | id
 tickets          | tickets                            | event_id                   | events               | events                   | id
 tickets          | tickets                            | ticket_type_id             | tickets              | ticket_types             | id
 tickets          | tickets                            | original_purchaser_id      | core                 | users                    | id
 venues           | layout_accessibility_features      | layout_id                  | venues               | venue_layouts            | id
 venues           | layout_accessibility_features      | section_id                 | venues               | layout_sections          | id
 venues           | layout_pricing_zones               | layout_id                  | venues               | venue_layouts            | id
 venues           | layout_seats                       | section_id                 | venues               | layout_sections          | id
 venues           | layout_sections                    | layout_id                  | venues               | venue_layouts            | id
 venues           | layout_sections                    | parent_section_id          | venues               | layout_sections          | id
 venues           | staff_certifications               | venue_staff_id             | venues               | venue_staff              | id
 venues           | staff_schedules                    | venue_staff_id             | venues               | venue_staff              | id
 venues           | staff_training_records             | venue_staff_id             | venues               | venue_staff              | id
 venues           | venue_compliance                   | venue_id                   | venues               | venues                   | id
 venues           | venue_compliance                   | verified_by                | core                 | users                    | id
 venues           | venue_custom_categories            | category_id                | events               | event_categories         | id
 venues           | venue_custom_categories            | created_by                 | core                 | users                    | id
 venues           | venue_custom_categories            | venue_id                   | venues               | venues                   | id
 venues           | venue_integrations                 | venue_id                   | venues               | venues                   | id
 venues           | venue_layouts                      | venue_id                   | venues               | venues                   | id
 venues           | venue_layouts                      | created_by                 | core                 | users                    | id
 venues           | venue_maintenance                  | venue_id                   | venues               | venues                   | id
 venues           | venue_operating_hours              | venue_id                   | venues               | venues                   | id
 venues           | venue_payout_accounts              | venue_id                   | venues               | venues                   | id
 venues           | venue_policies                     | previous_version_id        | venues               | venue_policies           | id
 venues           | venue_settings                     | venue_id                   | venues               | venues                   | id
 venues           | venue_settings                     | venue_id                   | venues               | venues                   | id
 venues           | venue_staff                        | venue_id                   | venues               | venues                   | id
 venues           | venue_staff                        | user_id                    | core                 | users                    | id
 venues           | venue_staff                        | added_by                   | core                 | users                    | id
 venues           | venues                             | updated_by                 | core                 | users                    | id
 venues           | venues                             | created_by                 | core                 | users                    | id
(268 rows)

